"filename", "language", "JSON", "TypeScript", "SCSS", "CSS", "HTML", "SVG", "JavaScript", "comment", "blank", "total"
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\permissions-list\permission-list.component.ts", "TypeScript", 0, 161, 0, 0, 0, 0, 0, 5, 14, 180
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\roles-list\add-role.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 2, 1, 38
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\roles-list\role-details.html", "HTML", 0, 0, 0, 0, 56, 0, 0, 0, 3, 59
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\roles-list\roles-list.component.html", "HTML", 0, 0, 0, 0, 67, 0, 0, 1, 1, 69
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\roles-list\roles-list.component.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 1, 1, 9
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\roles-list\roles-list.component.ts", "TypeScript", 0, 124, 0, 0, 0, 0, 0, 0, 14, 138
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\users-list\add-user.html", "HTML", 0, 0, 0, 0, 67, 0, 0, 7, 0, 74
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\users-list\user-details.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\users-list\users-list.component.html", "HTML", 0, 0, 0, 0, 95, 0, 0, 1, 1, 97
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\users-list\users-list.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\users-list\users-list.component.ts", "TypeScript", 0, 176, 0, 0, 0, 0, 0, 0, 15, 191
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\helpers\helpers.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 2, 3, 15
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\interfaces\JWT.interface.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\interfaces\enums.ts", "TypeScript", 0, 186, 0, 0, 0, 0, 0, 0, 66, 252
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\interfaces\types.ts", "TypeScript", 0, 331, 0, 0, 0, 0, 0, 63, 71, 465
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\modules\components.module.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\modules\mat.module.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 0, 19, 1, 105
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\auth\login\login-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\auth\login\login.module.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\auth\login\login.page.html", "HTML", 0, 0, 0, 0, 53, 0, 0, 0, 0, 53
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\auth\login\login.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\auth\login\login.page.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\dashboard\dashboard-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\dashboard\dashboard.module.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\dashboard\dashboard.page.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\dashboard\dashboard.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\dashboard\dashboard.page.spec.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\dashboard\dashboard.page.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\my-account\my-account-routing.module.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\my-account\my-account.module.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\my-account\my-account.page.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 1, 3, 34
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\my-account\my-account.page.scss", "SCSS", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\my-account\my-account.page.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\my-account\profile\profile-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\my-account\profile\profile.module.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\my-account\profile\profile.page.html", "HTML", 0, 0, 0, 0, 33, 0, 0, 17, 8, 58
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\my-account\profile\profile.page.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\my-account\profile\profile.page.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\authorization\authorization-routing.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\pages\system\authorization\authorization.module.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
